Block Type,96well,,,,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\Panama\Pdam_Plate13_Gal.eds,,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2016-11-01 16:46:50 PM EDT,,,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,NOISE,SPIKE,NOSIGNAL,EXPFAIL
E1,Pdam_336_14,Pdam,UNKNOWN,FAM,NFQ-MGB,22.2948036194,22.5273513794,0.3288708329,,,,0,0.01,1,3,21,,N,N,N,N,N,N
E3,Pdam_392_14,C,UNKNOWN,VIC,NFQ-MGB,37.2541275024,37.2032394409,0.0719692856,,,,0,0.01,1,3,39,,N,N,N,N,N,Y
E3,Pdam_392_14,D,UNKNOWN,FAM,NFQ-MGB,28.1442508698,28.1415710449,0.0037911932,,,,0,0.01,1,3,27,,N,N,N,N,N,Y
E4,Pdam_401_14,C,UNKNOWN,VIC,NFQ-MGB,25.5961894989,25.5952568054,0.0013176791,,,,0,0.01,1,3,25,,N,N,N,N,N,Y
E4,Pdam_401_14,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,N,N,N,Y
E5,Pdam_407_14,C,UNKNOWN,VIC,NFQ-MGB,24.0611190796,24.0697364807,0.0121881943,,,,0,0.01,1,3,23,,N,N,N,N,N,Y
E5,Pdam_407_14,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,N,N,N,Y
E6,Pdam_408_14,C,UNKNOWN,VIC,NFQ-MGB,23.6764183044,23.663974762,0.0175991748,,,,0,0.01,1,3,22,,N,N,N,N,N,Y
E6,Pdam_408_14,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,N,N,N,Y
E8,Pdam_413_14,C,UNKNOWN,VIC,NFQ-MGB,24.702167511,24.6206321716,0.1153083816,,,,0,0.01,1,3,24,,N,N,N,N,N,Y
E8,Pdam_413_14,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,N,N,N,Y
E9,Pdam_415_14,C,UNKNOWN,VIC,NFQ-MGB,31.0319499969,31.8055419922,1.0940256119,,,,0,0.01,1,3,33,,Y,N,N,N,N,N
E9,Pdam_415_14,D,UNKNOWN,FAM,NFQ-MGB,22.7386360168,22.7459487915,0.010341825,,,,0,0.01,1,3,21,,Y,N,N,N,N,N
E10,Pdam_419_14,C,UNKNOWN,VIC,NFQ-MGB,29.2375011444,29.3479614258,0.156215772,,,,0,0.01,1,3,29,,N,N,N,N,N,N
E10,Pdam_419_14,D,UNKNOWN,FAM,NFQ-MGB,23.8204364777,23.9003448486,0.1130061522,,,,0,0.01,1,3,22,,N,N,N,N,N,N
E11,Pdam_420_14,C,UNKNOWN,VIC,NFQ-MGB,24.6100692749,24.5577545166,0.073984243,,,,0,0.01,1,3,24,,N,N,N,N,N,Y
E11,Pdam_420_14,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,36.8977813721,,,,,0,0.01,1,3,39,,N,N,N,N,N,Y
E12,Pdam_336_14,C,UNKNOWN,VIC,NFQ-MGB,24.5446815491,24.5641746521,0.0275687594,,,,0,0.01,1,3,23,,N,N,N,N,N,Y
E12,Pdam_336_14,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,N,N,N,Y
F1,Pdam_337_14,Pdam,UNKNOWN,FAM,NFQ-MGB,30.1671352386,30.2280540466,0.0861535519,,,,0,0.01,1,3,29,,N,N,N,N,N,N
F3,Pdam_392_14,C,UNKNOWN,VIC,NFQ-MGB,37.1523475647,37.2032394409,0.0719692856,,,,0,0.01,1,3,39,,N,N,N,N,N,Y
F3,Pdam_392_14,D,UNKNOWN,FAM,NFQ-MGB,28.1388893127,28.1415710449,0.0037911932,,,,0,0.01,1,3,27,,N,N,N,N,N,Y
F4,Pdam_401_14,C,UNKNOWN,VIC,NFQ-MGB,25.5943260193,25.5952568054,0.0013176791,,,,0,0.01,1,3,25,,N,N,N,N,N,Y
F4,Pdam_401_14,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,N,N,N,Y
F5,Pdam_407_14,C,UNKNOWN,VIC,NFQ-MGB,24.0783557892,24.0697364807,0.0121881943,,,,0,0.01,1,3,23,,N,N,N,N,N,Y
F5,Pdam_407_14,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,N,N,N,Y
F6,Pdam_408_14,C,UNKNOWN,VIC,NFQ-MGB,23.6515293121,23.663974762,0.0175991748,,,,0,0.01,1,3,23,,N,N,N,N,N,Y
F6,Pdam_408_14,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,N,N,N,Y
F8,Pdam_413_14,C,UNKNOWN,VIC,NFQ-MGB,24.5390968323,24.6206321716,0.1153083816,,,,0,0.01,1,3,24,,N,N,N,N,N,Y
F8,Pdam_413_14,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,N,N,N,Y
F9,Pdam_415_14,C,UNKNOWN,VIC,NFQ-MGB,32.5791358948,31.8055419922,1.0940256119,,,,0,0.01,1,3,35,,Y,N,N,N,N,N
F9,Pdam_415_14,D,UNKNOWN,FAM,NFQ-MGB,22.7532615662,22.7459487915,0.010341825,,,,0,0.01,1,3,21,,Y,N,N,N,N,N
