Block Type,96well,,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\Panama\Gal1_Dprobes.eds,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2016-10-27 21:36:03 PM EDT,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,OUTLIERRG,EXPFAIL
D7,Pdam_506_14,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,35.6315116882,1.4339088202,,,,0,0.01,1,3,39,,N,Y,N,Y
D7,Pdam_506_14,D,UNKNOWN,FAM,NFQ-MGB,24.2755661011,24.3410720825,0.1449376494,,,,0,0.01,1,3,23,,N,Y,N,Y
D8,Pdam_509_14,C,UNKNOWN,VIC,NFQ-MGB,26.0295295715,25.9309120178,0.2280867845,,,,0,0.01,1,3,25,,N,N,N,N
D8,Pdam_509_14,D,UNKNOWN,FAM,NFQ-MGB,31.7092456818,31.2690086365,0.3747209907,,,,0,0.01,1,3,31,,N,N,N,N
D9,Pdam_510_14,C,UNKNOWN,VIC,NFQ-MGB,24.5961952209,24.744184494,0.1480251253,,,,0,0.01,1,3,24,,N,Y,N,Y
D9,Pdam_510_14,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,39.2048606873,0.9214392304,,,,0,0.01,1,3,39,,N,Y,N,Y
D10,Pdam_506_14,C,UNKNOWN,VIC,NFQ-MGB,33.3882865906,35.6315116882,1.4339088202,,,,0,0.01,1,3,36,,Y,N,N,N
D10,Pdam_506_14,D,UNKNOWN,FAM,NFQ-MGB,24.2415065765,24.3410720825,0.1449376494,,,,0,0.01,1,3,23,,Y,N,N,N
D11,Pdam_509_14,C,UNKNOWN,VIC,NFQ-MGB,25.6872177124,25.9309120178,0.2280867845,,,,0,0.01,1,3,25,,N,N,N,N
D11,Pdam_509_14,D,UNKNOWN,FAM,NFQ-MGB,31.1235084534,31.2690086365,0.3747209907,,,,0,0.01,1,3,30,,N,N,N,N
D12,Pdam_510_14,C,UNKNOWN,VIC,NFQ-MGB,24.9855937958,24.744184494,0.1480251253,,,,0,0.01,1,3,24,,N,N,N,Y
D12,Pdam_510_14,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,39.2048606873,0.9214392304,,,,0,0.01,1,3,39,,N,N,N,Y
E1,Pdam_343_14,Pdam,UNKNOWN,FAM,NFQ-MGB,21.590877533,21.2876052856,1.2717900276,,,,0,0.01,1,3,20,,Y,N,N,N
E2,Pdam_358_14,Pdam,UNKNOWN,FAM,NFQ-MGB,25.3252620697,24.784526825,0.5438609719,,,,0,0.01,1,3,24,,Y,N,N,N
E3,Pdam_359_14,Pdam,UNKNOWN,FAM,NFQ-MGB,20.8231525421,21.2734851837,0.3701952398,,,,0,0.01,1,3,20,,N,N,N,N
E4,Pdam_343_14,Pdam,UNKNOWN,FAM,NFQ-MGB,20.4187927246,21.2876052856,1.2717900276,,,,0,0.01,1,3,19,,Y,N,N,N
E5,Pdam_358_14,Pdam,UNKNOWN,FAM,NFQ-MGB,24.4151039124,24.784526825,0.5438609719,,,,0,0.01,1,3,23,,Y,N,N,N
E6,Pdam_359_14,Pdam,UNKNOWN,FAM,NFQ-MGB,21.1091651917,21.2734851837,0.3701952398,,,,0,0.01,1,3,20,,N,N,N,N
E7,Pdam_343_14,Pdam,UNKNOWN,FAM,NFQ-MGB,20.6595134735,21.2876052856,1.2717900276,,,,0,0.01,1,3,19,,Y,N,N,N
E8,Pdam_358_14,Pdam,UNKNOWN,FAM,NFQ-MGB,24.19581604,24.784526825,0.5438609719,,,,0,0.01,1,3,23,,Y,N,N,N
E9,Pdam_359_14,Pdam,UNKNOWN,FAM,NFQ-MGB,21.2672195435,21.2734851837,0.3701952398,,,,0,0.01,1,3,20,,N,N,N,N
E10,Pdam_343_14,Pdam,UNKNOWN,FAM,NFQ-MGB,20.6836605072,21.2876052856,1.2717900276,,,,0,0.01,1,3,19,,Y,N,N,N
E11,Pdam_358_14,Pdam,UNKNOWN,FAM,NFQ-MGB,25.0432472229,24.784526825,0.5438609719,,,,0,0.01,1,3,24,,Y,N,N,N
E12,Pdam_359_14,Pdam,UNKNOWN,FAM,NFQ-MGB,21.3476772308,21.2734851837,0.3701952398,,,,0,0.01,1,3,20,,N,N,N,N
F1,Pdam_343_14,C,UNKNOWN,VIC,NFQ-MGB,23.5391254425,23.6685009003,0.3777212799,,,,0,0.01,1,3,23,,N,N,N,Y
F1,Pdam_343_14,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,N,Y
F2,Pdam_358_14,C,UNKNOWN,VIC,NFQ-MGB,23.9062099457,24.2448406219,0.3590456247,,,,0,0.01,1,3,23,,N,N,N,Y
F2,Pdam_358_14,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,N,Y
F3,Pdam_359_14,C,UNKNOWN,VIC,NFQ-MGB,22.1508235931,22.7076091766,0.3992472887,,,,0,0.01,1,3,21,,N,Y,N,Y
