Colony,Year.2,C.SH,D.SH,tot.SH,logTot.SH,D.Prp,,logC.SH,logD.SH,Year,Sample,Reef,Spp,Depht,Community,DominantCommunity,D14.D.Prp,D14Community,D14Dominant,D16.D.Prp,D16Community,D16Dominant,ITS2_14,ORF,ORFCommunity,ORFCommunity2,DominantITS2
290-1,2015,0,0.073178369337177,0.073178369337177,-1.13561727229893,1,100.0,NA,-1.13561727229893,15,15_290-1,Gardineroseris city,P.dam,14,Durusdinium-only,Durusdinium-dominated,1,Durusdinium-only,Durusdinium-dominated,1,Durusdinium-only,Durusdinium-dominated,D1,Type 1,Type 1_Durusdinium-only,Type 1_Durusdinium-dominated,D1-dominated
290-1,2016,0,0.017720152723861,0.017720152723861,-1.75153253939907,1,100.0,NA,-1.75153253939907,16,16_290-1,Gardineroseris city,P.dam,14,Durusdinium-only,Durusdinium-dominated,1,Durusdinium-only,Durusdinium-dominated,1,Durusdinium-only,Durusdinium-dominated,D1,Type 1,Type 1_Durusdinium-only,Type 1_Durusdinium-dominated,D1-dominated
295-1,2014,0,0.018780856772204,0.018780856772204,-1.7262845993461,1,100.0,NA,-1.7262845993461,14,14_295-1,Bw Gard City and 4x5,P.ele,13,Durusdinium-only,Durusdinium-dominated,1,Durusdinium-only,Durusdinium-dominated,1,Durusdinium-only,Durusdinium-dominated,D1,Type 1,Type 1_Durusdinium-only,Type 1_Durusdinium-dominated,D1-dominated
295-1,2015,0,0.046553555792721,0.046553555792721,-1.33204714170347,1,100.0,NA,-1.33204714170347,15,15_295-1,Bw Gard City and 4x5,P.ele,13,Durusdinium-only,Durusdinium-dominated,1,Durusdinium-only,Durusdinium-dominated,1,Durusdinium-only,Durusdinium-dominated,D1,Type 1,Type 1_Durusdinium-only,Type 1_Durusdinium-dominated,D1-dominated
295-1,2016,0,0.016445692553703,0.016445692553703,-1.78394783297985,1,100.0,NA,-1.78394783297985,16,16_295-1,Bw Gard City and 4x5,P.ele,13,Durusdinium-only,Durusdinium-dominated,1,Durusdinium-only,Durusdinium-dominated,1,Durusdinium-only,Durusdinium-dominated,D1,Type 1,Type 1_Durusdinium-only,Type 1_Durusdinium-dominated,D1-dominated
266-1,2016,0,0.02049020284001,0.02049020284001,-1.68845374233766,1,100.0,NA,-1.68845374233766,16,16_266-1,Coral Collection Point,P.dam,20,Durusdinium-only,Durusdinium-dominated,0.05090299699228,Mixed,Cladocopium-dominated,1,Durusdinium-only,Durusdinium-dominated,C1bc,Type 1,Type 1_Durusdinium-only,Type 1_Durusdinium-dominated,D1-dominated
267,2014,0.012017845679984,0.010639983261123,0.022657828941107,-1.64478170630266,0.469594120812669,47.0,-1.92017337702121,-1.97305905527477,14,14_267,Coral Collection Point,P.ele,15,Mixed,Durusdinium-dominated,0.469594120812669,Mixed,Durusdinium-dominated,1,Durusdinium-only,Durusdinium-dominated,D1,Type 1,Type 1_Mixed,Type 1_Durusdinium-dominated,D1-dominated
267,2015,0.000156178294266,0.030302403189214,0.03045858148348,-1.51629032648397,0.99487243703877,99.5,-3.80637932471872,-1.5185229275892,15,15_267,Coral Collection Point,P.ele,15,Mixed,Durusdinium-dominated,0.469594120812669,Mixed,Durusdinium-dominated,1,Durusdinium-only,Durusdinium-dominated,D1,Type 1,Type 1_Mixed,Type 1_Durusdinium-dominated,D1-dominated
267,2016,0,0.07195223220639,0.07195223220639,-1.14295572820577,1,100.0,NA,-1.14295572820577,16,16_267,Coral Collection Point,P.ele,15,Durusdinium-only,Durusdinium-dominated,0.469594120812669,Mixed,Durusdinium-dominated,1,Durusdinium-only,Durusdinium-dominated,D1,Type 1,Type 1_Durusdinium-only,Type 1_Durusdinium-dominated,D1-dominated
268-1,2014,0.030685602599491,2.94E-06,0.030688544265592,-1.51302371216821,9.59E-05,0.0,-1.51306534368316,-5.53140662414375,14,14_268-1,Coral Collection Point,P.ele,20,Mixed,Cladocopium-dominated,9.59E-05,Mixed,Cladocopium-dominated,0.613005699952209,Mixed,Durusdinium-dominated,C1bc,Type 1,Type 1_Mixed,Type 1_Cladocopium-dominated,C1bc-dominated
