Region,Location,Reef,Depht,Spp,Year.2,Number,Tag,Sample,Collection day,Notes,Depth.2
Gal_Darwin,Darwin,"Darwin Reef, next to BEAMS",42,P.eyd,2014,,548,14_424,,,mid
Gal_Darwin,Darwin,"Darwin Reef, next to BEAMS",35,P.ver,2014,,549,14_426,,,mid
Gal_Darwin,Darwin,"Darwin Reef, next to BEAMS",36,P.ver,2014,,550,14_427,,,mid
Gal_Darwin,Darwin,"Darwin Reef, next to BEAMS",37,P.ver,2014,,551,14_430,,,mid
Gal_Darwin,Darwin,"Darwin Reef, next to BEAMS",36,P.mea,2014,,553,14_434,,,mid
Gal_Darwin,Darwin,"Darwin Reef, next to BEAMS",36,P.mea,2014,,556,14_438,,,mid
Gal_Darwin,Darwin,"Darwin Reef, next to BEAMS",36,P.ver,2014,,557,14_439,,,mid
Gal_Darwin,Darwin,"Darwin Reef, next to BEAMS",36,P.eyd,2014,,558,14_440,,,mid
Gal_Darwin,Darwin,"Darwin Reef, next to BEAMS",37,P.ele,2014,,559,14_442,,,mid
Gal_Darwin,Darwin,"Darwin Reef, next to BEAMS",38,P.mea,2014,,560,14_443,,,mid
Gal_Darwin,Darwin,"Darwin Reef, next to BEAMS",40,P.dam,2014,,561,14_444,,,mid
Gal_Darwin,Darwin,"Darwin Reef, next to BEAMS",40,P.dam,2014,,562,14_445,,,mid
Gal_Darwin,Darwin,"Darwin Reef, next to BEAMS",37,P.ele,2014,,563,14_447,,,mid
Gal_Darwin,Darwin,"Darwin Reef, next to BEAMS",37,P.eyd,2014,,563,14_448,,,mid
Gal_Darwin,Darwin,"Darwin Reef, next to BEAMS",37,P.ver,2014,,564,14_449,,,mid
Gal_Darwin,Darwin,"Darwin Reef, next to BEAMS",40,P.ver,2014,,567,14_455,,,mid
Gal_Darwin,Darwin,"Darwin Reef, next to BEAMS",42,P.eff,2014,,570,14_458,,,mid
Gal_Darwin,Darwin,"Darwin Reef, next to BEAMS",42,P.eyd,2014,,571,14_459,,,mid
Gal_Darwin,Darwin,"Darwin Island, on boulders from old reef to point",26,P.eyd,2014,,576,14_464,,,Shallow
Gal_Darwin,Darwin,"Darwin Island, on boulders from old reef to point",26,P.eyd,2014,,576,14_465,,,Shallow
Gal_Darwin,Darwin,"Darwin Island, on boulders from old reef to point",29,P.ele,2014,,579,14_468,,,Shallow
Gal_Darwin,Darwin,"Darwin Island, on boulders from old reef to point",20,P.ver,2014,,583,14_472,,,Shallow
Gal_Darwin,Darwin,"Darwin Island, on boulders from old reef to point",20,P.ver,2014,,584,14_473,,,Shallow
Gal_Darwin,Darwin,"Darwin Island, on boulders from old reef to point",20,P.ele,2014,,585,14_474,,,Shallow
Gal_Darwin,Darwin,"Darwin Island, on boulders from old reef to point",20,P.eff,2014,,586,14_475,,,Shallow
Gal_Darwin,Darwin,"Darwin Reef, next to BEAMS, along transect running  due North ~5m from BEAMS",37,P.ver,2014,,589,14_479,,,mid
Gal_Darwin,Darwin,"Darwin Reef, next to BEAMS, along transect running  due North ~10m from BEAMS",36,P.ver,2014,,591,14_481,,,mid
Gal_Darwin,Darwin,"Darwin Reef, next to BEAMS, along transect running  due North ~10m from BEAMS",37,P.eyd,2014,,592,14_482,,,mid
Gal_Darwin,Darwin,"Darwin Reef, next to BEAMS, along transect running  due North ~15m from BEAMS",37,P.mea,2014,,594,14_484,,,mid
Gal_Darwin,Darwin,"Darwin Reef, next to BEAMS, along transect running  due North ~20m from BEAMS",38,P.eff,2014,,595,14_485,,,mid
Gal_Darwin,Darwin,"Darwin Reef, next to BEAMS, along transect running  due North ~20m from BEAMS",38,P.eff,2014,,596,14_486,,,mid
Gal_Darwin,Darwin,"Darwin Reef, next to BEAMS, along transect running  due North ~20m from BEAMS",37,P.ver,2014,,597,14_487,,,mid
Gal_Darwin,Darwin,"Darwin Reef, next to BEAMS, along transect running  due North ~25m from BEAMS",37,P.mea,2014,,599,14_489,,,mid
Gal_Darwin,Darwin,"Darwin Reef, next to BEAMS, along transect running  due North ~25m from BEAMS",37,P.eff,2014,,600,14_490,,,mid
Gal_Darwin,Darwin,"Darwin Reef, next to BEAMS",40,P.eyd,2014,,618,14_493,,,mid
Gal_Darwin,Darwin,"Darwin Reef, next to BEAMS",40,P.eyd,2014,,617,14_494,,,mid
Gal_Darwin,Darwin,"Darwin Reef, next to BEAMS",40,P.eff,2014,,615,14_496,,,mid
Gal_Darwin,Darwin,Darwin fore reef,68,P.eyd,2014,,no tag,14_506,,,mid
Gal_Darwin,Darwin,Darwin fore reef,63,P.eyd,2014,,no tag,14_508,,,mid
Gal_Darwin,Darwin,Darwin fore reef,65,P.ver,2014,,no tag,14_509,,,mid
Gal_Darwin,Darwin,Darwin fore reef,66,P.ver,2014,,no tag,14_510,,,mid
Gal_Darwin,Darwin,Darwin fore reef,58,P.ver,2014,,no tag,14_516,,,mid
Gal_Darwin,Darwin,Darwin fore reef,59,P.eff,2014,,no tag,14_518,,,mid
Gal_Darwin,Darwin,Darwin fore reef,55,P.eff,2014,,no tag,14_520,,,mid
Gal_Darwin,Darwin,Darwin fore reef,57,P.mea,2014,,no tag,14_521,,,mid
Gal_Darwin,Darwin,Darwin fore reef,50,P.ver,2014,,no tag,14_522,,,mid
Gal_Darwin,Darwin,Darwin fore reef,49,P.eyd,2014,,no tag,14_524,,,mid
Gal_Darwin,Darwin,Darwin fore reef,35,P.eff,2014,,no tag,14_526,,,mid
Gal_Darwin,Darwin,Darwin fore reef,30,P.eff,2014,,no tag,14_527,,,Shallow
